Client_Name__c,Job_Function_Hired_In__c_y,Industry_Hired_In__c,Hired_Location__c_y,Salary_Range__c_y,Employment_Type__c_y,Employment_Type__c_y,Federal_Hire__c_y,Hired_but_still_active_and_looking__c_y,Ops_Review_Date__c,Area_Manager_Approved__c,PIM_Approved__c
0030z00002PrWi1AAF,General Labor,Other,"16809 W Prairie Ave, Hauser, ID 83854","$20,000 - $29,999",Full-Time,Full-Time,0,0,10/29/2018 0:00,1,1
0030z00002PrWn1AAF,Other,Aerospace and Aviation,Kuwait,"$60,000 - $69,999",Full-Time,Full-Time,0,0,10/15/2018 0:00,1,1
0030z00002PrXLpAAN,Training/Instruction/Teaching,Educational Services,"Ludowici, GA","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/3/2018 0:00,1,1
0030z00002PrXU9AAN,Supply Chain/Logistics,Mining/Quarrying/Oil and Gas Extraction,"Houston, TX","$50,000 - $59,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002PrXpMAAV,Management - Operations,Aerospace and Aviation,"Katy, TX","$50,000 - $59,999",Full-Time,Full-Time,0,0,9/17/2018 0:00,1,1
0030z00002PrY43AAF,Restaurant/Food Service,Hospitality/Accommodation/Food Services,"Knoxville, TN","$20,000 - $29,999",Part-Time,Part-Time,0,0,10/8/2018 0:00,1,1
0030z00002PrYQzAAN,IT - Systems Management,Aerospace and Aviation,"Yakima, Washington","$50,000 - $59,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002PrZ9vAAF,Healthcare,Health Care and Social Assistance,"Minneapolis, MN","$30,000 - $39,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002PrZBNAA3,Administrative/Clerical,Business Support - Facilities,"Fleming Island, FL","$30,000 - $39,999",Full-Time,Full-Time,0,0,9/10/2018 0:00,1,1
0030z00002PrZDiAAN,Sales,Health Care and Social Assistance,"San Diego, CA","$50,000 - $59,999",Full-Time,Full-Time,0,0,9/17/2018 0:00,1,1
0030z00002PrZNxAAN,Customer Service,Other,"Spokane, WA","$30,000 - $39,999",Full-Time,Full-Time,0,0,11/12/2018 0:00,1,1
0030z00002PrZVNAA3,Management - Operations,Professional - Consulting Services,"Tacoma,WA","$60,000 - $69,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002PrbmfAAB,Supply Chain/Logistics,Defense Contracting,"Chesapeake, VA","$30,000 - $39,999",Temporary/Contract,Temporary/Contract,0,0,9/10/2018 0:00,1,1
0030z00002Prf4HAAR,Administrative/Clerical,Government and Public Administration,"Ontario, OR","$50,000 - $59,999",Full-Time,Full-Time,0,0,1/14/2019 0:00,1,1
0030z00002PrfgVAAR,IT - Systems Management,Government and Public Administration,"800 W Campbell Rd, Richardson, TX","$70,000 - $79,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002PrgdsAAB,Administrative/Clerical,Professional - Legal,"Cary, NC","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/3/2018 0:00,1,1
0030z00002PrhEkAAJ,Installation/Maintenance/Repair,Construction,"Rosharon, TX","$30,000 - $39,999",Full-Time,Full-Time,0,0,1/7/2019 0:00,1,1
0030z00002PrhXlAAJ,Analyst,Business Support - Admin/Staffing,"Anchorage, AK","$50,000 - $59,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002PrheDAAR,Marketing,Educational Services,"Pomona,  CA","$20,000 - $29,999",Part-Time,Part-Time,0,0,9/24/2018 0:00,1,1
0030z00002PrhfBAAR,Training/Instruction/Teaching,Educational Services,"San Diego, CA","$30,000 - $39,999",Part-Time,Part-Time,0,0,11/12/2018 0:00,1,1
0030z00002PrhrMAAR,Natural Resources/Environmental,Mining/Quarrying/Oil and Gas Extraction,"Odessa, TX","$40,000 - $49,999",Full-Time,Full-Time,0,0,9/24/2018 0:00,1,1
0030z00002Pri46AAB,Consultant,Installation/Repair/Maintenance,"North Charleston, SC","$80,000 - $89,999",Full-Time,Full-Time,0,0,11/12/2018 0:00,1,1
0030z00002PriUdAAJ,Management - Programs,Defense Contracting,"Littleton, CO","$70,000 - $79,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002PriivAAB,Analyst,Government and Public Administration,Jeffersonville IN,"$70,000 - $79,999",Full-Time,Full-Time,0,0,9/17/2018 0:00,1,1
0030z00002PriseAAB,Installation/Maintenance/Repair,Aerospace and Aviation,"Mountain Home AFB, ID","$40,000 - $49,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002PrixjAAB,IT - Help Desk/Support,Mining/Quarrying/Oil and Gas Extraction,Oklahoma,"$40,000 - $49,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002PrjHAAAZ,Other,Government and Public Administration,"Salisbury, NC","$50,000 - $59,999",Full-Time,Full-Time,1,0,12/3/2018 0:00,1,1
0030z00002Prl7xAAB,Administrative/Clerical,Defense Contracting,Afghanistan,"$90,000 - $99,999",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002PrlAhAAJ,Transportation,Other,"Port Angeles, WA","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/10/2018 0:00,1,1
0030z00002PrmreAAB,Other,Other,"New York, NY","$60,000 - $69,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002PrmtGAAR,Administrative/Clerical,Management of Companies and Enterprises,"Iowa City,  IA","$40,000 - $49,999",Full-Time,Full-Time,0,0,11/19/2018 0:00,1,1
0030z00002Prn4iAAB,Management - General,Transportation and Warehousing,"Skipper Rd, Macon, GA","$60,000 - $69,999",Full-Time,Full-Time,0,0,11/12/2018 0:00,1,1
0030z00002PrqCTAAZ,IT - Computer/Software Engineering,Information - Information Technology,"Orlando, FL","$80,000 - $89,999",Full-Time,Full-Time,0,0,11/19/2018 0:00,1,1
0030z00002Prqd4AAB,Sales,Retail Trade,"Biloxi,MS","$30,000 - $39,999",Full-Time,Full-Time,0,1,11/19/2018 0:00,1,1
0030z00002Prr7eAAB,Management - General,Government and Public Administration,"San Diego, CA","$60,000 - $69,999",Full-Time,Full-Time,0,0,1/14/2019 0:00,1,1
0030z00002PrrJlAAJ,Human Resources,Business Support - Admin/Staffing,"San Antonio, TX","$50,000 - $59,999",Full-Time,Full-Time,0,0,7/25/2016 0:00,1,1
0030z00002PrrJvAAJ,Engineering,Information - Information Technology,"Huntsville, AL","$60,000 - $69,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002PrrKFAAZ,Strategy/Planning,Professional - Consulting Services,"Tampa,St. Petersburg, FL","$100,000+",Full-Time,Full-Time,0,0,7/16/2018 0:00,1,1
0030z00002PrrKYAAZ,Management - General,Transportation and Warehousing,"Orlando, FL","$50,000 - $59,999",Full-Time,Full-Time,0,0,12/3/2018 0:00,1,1
0030z00002PrrKaAAJ,Management - Programs,Government and Public Administration,"9902 Deerfield Pond Dr, Great Falls, VA 22066","$100,000+",Full-Time,Full-Time,0,0,12/17/2018 0:00,1,1
0030z00002PrrKeAAJ,Management - Operations,Retail Trade,"San Antonio, TX","$60,000 - $69,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002PrrKkAAJ,Facilities Management,Information - Information Technology,"Prineville, OR","$70,000 - $79,999",Full-Time,Full-Time,0,0,10/1/2018 0:00,1,1
0030z00002PrrL6AAJ,Training/Instruction/Teaching,Educational Services,"Norfolk, VA","$30,000 - $39,999",Part-Time,Part-Time,0,0,10/8/2018 0:00,1,1
0030z00002PrrNyAAJ,Customer Service,Educational Services,"Maricopa, AZ","$40,000 - $49,999",Full-Time,Full-Time,0,0,12/10/2018 0:00,1,1
0030z00002PrrPxAAJ,Installation/Maintenance/Repair,Information - Telecommunications,"Denver, CO","$60,000 - $69,999",Full-Time,Full-Time,0,0,12/24/2018 0:00,1,1
0030z00002PrrQRAAZ,Other,Defense Contracting,"Killeen, TX","$40,000 - $49,999",Full-Time,Full-Time,0,0,10/22/2018 0:00,1,1
0030z00002PrsgjAAB,IT - General,Transportation and Warehousing,"Savannah, GA","$100,000+",Full-Time,Full-Time,0,0,10/8/2018 0:00,1,1
